playerID,MVP,Gold_Glove,Cy_Young_Award,All_Star_Game,Batting_Seasons_Number,Batting_LastSeason,Batting_Games,Batting_At_Bats,Batting_Runs,Batting_Hits,Batting_Doubles,Batting_Triples,Batting_Homeruns,Batting_Runs_Batted_In,Batting_Stolen_Bases,Batting_Caught_Steading,Batting_Base_on_Balls,Batting_Intentional_walks,Batting_Hit_by_pitch,Batting_Sacrifice_hits,Batting_Grounded_into_double_plays,Pitching_Wins,Pitching_Games,Pitching_Shutouts,Pitching_Saves,Pitching_Outs_Pitched,Pitching_Earned_Runs,Pitching_Strikeouts,Pitching_ERA,Pitching_HBP,Pitching_BK,Pitching_BFP,Pitching_GF,Pitching_R,inducted
galaran01,0,2,0,5,19,2004,2257,8096,1195,2333,444,32,399,1425,128,81,583,106,178,1,179,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
galvipu01,0,0,0,NULL,15,1892,731,2748,278,552,87,31,5,220,23,0,38,0,2,0,0,364,705,57,2,18010,1910,1806,51.03000068664551,57,1,25234,17,3355,Y
gamblos01,0,0,0,NULL,17,1985,1584,4502,656,1195,188,31,200,666,47,37,610,62,43,12,64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
gantro01,0,0,0,2,16,2003,1832,6449,1080,1651,302,50,321,1008,243,102,770,38,32,12,98,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
garcino01,0,0,0,5,14,2009,1434,5586,927,1747,370,52,229,936,95,31,403,54,59,5,129,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
garneph01,0,0,0,3,16,1988,1860,6136,780,1594,299,82,109,738,225,105,564,74,34,67,131,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
garvene01,0,0,0,1,14,1961,458,827,87,180,27,3,7,72,1,1,76,0,1,53,24,129,402,18,12,7432,1027,881,56.52000021934509,41,7,10583,40,1184,N
garvest01,1,4,0,10,19,1987,2332,8835,1143,2599,440,43,272,1308,83,62,479,113,29,33,251,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
gehrich01,1,0,0,6,19,1942,2323,8860,1774,2839,574,146,184,1427,181,89,1186,0,50,141,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
gehrilo01,2,0,0,6,17,1939,2164,8001,1888,2721,534,163,493,1995,102,101,1508,0,45,106,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y
gelbech01,0,0,0,NULL,9,1940,876,2869,398,766,169,43,17,350,34,0,290,0,7,49,24,0,2,0,0,12,4,1,9,0,0,21,2,4,N
geronce01,0,4,0,NULL,15,1983,1522,3780,460,977,161,50,51,392,82,40,354,83,31,39,68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
gibsobo01,1,9,2,6,17,1975,596,1328,132,274,44,5,24,144,13,10,63,0,8,72,13,251,528,56,6,11653,1258,3117,53.4799998998642,102,13,16068,21,1420,Y
gibsojo99,0,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y
gibsoki01,1,0,0,NULL,17,1995,1635,5798,985,1553,260,54,255,870,284,78,718,72,61,23,72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
gilesbr02,0,0,0,2,15,2009,1847,6527,1121,1897,411,55,287,1078,109,45,1183,114,51,4,160,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
giustda01,0,0,0,1,15,1977,686,412,29,77,10,2,4,46,0,0,23,0,3,27,5,100,668,9,145,5150,687,1103,58.17999970912933,15,7,7251,380,764,N
gladdfr01,0,0,0,NULL,13,1973,450,63,1,1,0,0,0,3,0,0,0,0,0,4,1,48,450,0,109,1803,209,394,48.63999962806702,27,2,2552,278,237,N
glassja01,0,0,0,NULL,17,1895,1736,7030,1163,2040,313,98,27,825,372,0,439,0,62,4,0,0,5,0,0,21,5,3,59.40000009536743,1,0,29,4,11,N
glaustr01,0,0,0,4,13,2010,1537,5410,889,1375,293,10,320,950,56,29,854,40,46,0,138,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
glavito02,0,0,2,6,22,2008,709,1323,93,246,25,2,1,90,1,0,101,0,2,216,14,305,682,25,0,13240,1734,2607,81.53999972343445,66,7,18604,0,1900,Y
